"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"NGC 5342         ","UGC  8776         ","GALXY","UMA","13 51.4","+59 52","13.5","12.5","49 ","2 ","   1.1 m","   0.4 m","152","SO         ","    ","     ","    ","eF;vS                                                  ","H III 849                                                                             "
"NGC 5370         ","UGC  8832         ","GALXY","UMA","13 54.2","+60 41","13.1","13.3","49 ","2 ","   1.1 m","   1.1 m","   ","SBO Ring   ","    ","     ","    ","F;S                                                    ","H II 843                                                                              "
"NGC 5368         ","UGC  8834         ","GALXY","UMA","13 54.5","+54 20","13.0","12.4","49 ","2 ","   0.9 m","   0.8 m","10 ","SBab       ","    ","     ","    ","F;cS;R;stell;*16 nf                                    ","H III 786                                                                             "
"NGC 5372         ","UGC  8843         ","GALXY","UMA","13 54.8","+58 40","13.2","11.5","49 ","2 ","   0.6 m","   0.4 m","140","Pec        ","    ","     ","    ","cF;S;E;(** inv)                                        ","H III 809;Peculiar                                                                    "
"UGC  8837        ","Holmberg IV       ","GALXY","UMA","13 54.8","+53 54","13.4","15.1","49 ","2 ","   4   m","   1.4 m","18 ","Ir+        ","    ","     ","    ","                                                       ","In M101 group;MCG +09-23-017                                                          "
"NGC 5376         ","UGC  8852         ","GALXY","UMA","13 55.3","+59 30","12.1","13.1","49 ","2 ","   2.1 m","   1.3 m","70 ","SBab       ","    ","     ","    ","cB;pL;vlE;vgmbM                                        ","H I 238;sBN;weak bar                                                                  "
"NGC 5379         ","UGC  8860         ","GALXY","UMA","13 55.6","+59 45","12.9","13.5","49 ","2 ","   2.1 m","   1   m","60 ","SBO-a      ","    ","     ","    ","pB;pS;E;mbM                                            ","H I 239;P w NGC 5389 at 4.1' f vsBN                                                   "
"NGC 5389         ","UGC  8866         ","GALXY","UMA","13 56.1","+59 44","12.0","13.1","49 ","2 ","   3.6 m","   1   m","3  ","SBO-a      ","    ","     ","    ","pB;pL;E;mbMN                                           ","H I 240;P w NGC 5379;vBN w strong dk lane on one side                                 "
"NGC 5402         ","UGC  8903         ","GALXY","UMA","13 58.3","+59 49","13.7","12.6","49 ","2 ","   1.3 m","   0.3 m","167","S pec      ","    ","     ","    ","vF;vS;R                                                ","H III 810                                                                             "
"NGC 5422         ","UGC  8935         ","GALXY","UMA","14 00.7","+55 10","11.8","12.8","49 ","2 ","   3.5 m","   0.6 m","152","Sa         ","    ","     ","    ","pB;S;pmE45;vsvmbMN                                     ","H I 230;svBN w B lens;listed as N 5423 prob misprint                                  "
"NGC 5425         ","UGC  8933         ","GALXY","UMA","14 00.8","+48 27","13.6","13.5","77 ","7 ","   1.9 m","   0.5 m","127","Scd        ","    ","     ","    ","eF;S;lE;B*4'n                                          ","                                                                                      "
"NGC 5430         ","UGC  8937         ","GALXY","UMA","14 00.8","+59 20","11.9","12.8","49 ","2 ","   2.3 m","   1.3 m","0  ","SBb        ","    ","     ","    ","pB;S;iE;mbM                                            ","H II 827;svBN in B lens w B rim;*superp 22'' from N                                   "
"NGC 5443         ","UGC  8958         ","GALXY","UMA","14 02.2","+55 49","12.3","13.2","49 ","2 ","   2.7 m","   1   m","34 ","SBb        ","    ","     ","    ","pF;L;E                                                 ","H II 799                                                                              "
"NGC 5447         ","                  ","GX+DN","UMA","14 02.5","+54 17","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","pB;S;R;gmbM;conn M101                                  ","H III 787;knot on the arm of NGC 5457 = M 101                                         "
"NGC 5449         ","                  ","GX+DN","UMA","14 02.5","+54 20","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","vF;pL;gvlbM;conn M101                                  ","knot on the arm of NGC 5457 = M 101                                                   "
"NGC 5450         ","                  ","GX+DN","UMA","14 02.5","+54 16","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","F;pS;iR;glbM;conn M101                                 ","knot on the arm of NGC 5457 = M 101                                                   "
"NGC 5451         ","                  ","GX+DN","UMA","14 02.6","+54 22","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","vF;pL;iR;vlbM;conn M101                                ","knot on the arm of NGC 5457 = M 101                                                   "
"NGC 5448         ","UGC  8969         ","GALXY","UMA","14 02.8","+49 10","11.0","13  ","77 ","7 ","   3.8 m","   2   m","115","SBa        ","    ","     ","    ","pB;cL;vmE90;smbMN                                      ","H II 691;vBN w F bar                                                                  "
"NGC 5453         ","                  ","GX+DN","UMA","14 02.9","+54 18","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","F;pL;lE;vlbM;conn M101                                 ","knot on the arm of NGC 5457 = M 101                                                   "
"NGC 5455         ","                  ","GX+DN","UMA","14 03.0","+54 14","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","pB;pS;R;psbM;conn M101                                 ","knot on the arm of NGC 5457 = M 101                                                   "
"NGC 5457         ","M 101             ","GALXY","UMA","14 03.2","+54 21"," 7.9","14.9","49 ","2 ","  28.5 m","  28.3 m","   ","SBc        ","    ","     ","   M","pB;vL;iR;g;vsmbM;BSN                                   ","P w NGC 5474;SN 1909;spir galax w one heavy arm;B knot E                              "
"NGC 5458         ","                  ","GX+DN","UMA","14 03.2","+54 18","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","vF;pL;R;vlbM;conn M101                                 ","knot on the arm of NGC 5457 = M 101                                                   "
"NGC 5461         ","                  ","GX+DN","UMA","14 03.7","+54 19","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","B;pS;R;psbM;conn M101                                  ","H III 788;knot on the arm of NGC 5457 = M 101                                         "
"NGC 5462         ","                  ","GX+DN","UMA","14 03.9","+54 22","99.9","99.9","49 ","2 ","        ","        ","   ","E+*        ","    ","     ","    ","pB;pL;iR;gbM;conn M101                                 ","H III 789;knot on the arm of NGC 5457 = M 101                                         "
"NGC 5471         ","MCG   9-23- 30    ","GX+DN","UMA","14 04.5","+54 24","15.5","99.9","49 ","2 ","   0.6 m","   0.5 m","60 ","E+*        ","    ","     ","    ","F;S;R;*12;13p                                          ","knot on the arm of NGC 5457 = M 101                                                   "
"NGC 5473         ","UGC  9011         ","GALXY","UMA","14 04.7","+54 54","11.4","12.8","49 ","2 ","   2.2 m","   1.7 m","160","E2         ","    ","     ","  H ","pB;S;R;gbM                                             ","H I 231;svBN;sh. bar;F lens;in field of M 101                                         "
"NGC 5474         ","UGC  9013         ","GALXY","UMA","14 05.0","+53 40","10.8","13.9","49 ","2 ","   5   m","   4.5 m","   ","Sc         ","    ","     ","  H ","pB;L;bM;P w M101                                       ","H I 214;low surf. bright;smooth part res cent w vsFN;strongly asym                    "
"NGC 5475         ","UGC  9016         ","GALXY","UMA","14 05.2","+55 45","12.6","12.5","49 ","2 ","   1.9 m","   0.5 m","166","Sa         ","    ","     ","    ","pB;S;pmE;bM                                            ","H II 800                                                                              "
"NGC 5477         ","UGC  9018         ","GALXY","UMA","14 05.6","+54 28","14.0","14.7","49 ","2 ","   1.6 m","   1.3 m","95 ","Sm         ","    ","     ","    ","vF;pL                                                  ","H III 790                                                                             "
"NGC 5480         ","UGC  9026         ","GALXY","UMA","14 06.4","+50 43","12.1","12.7","49 ","2 ","   1.6 m","   1   m","5  ","Sc         ","    ","     ","    ","F;pS;vgbM;np of 2                                      ","H II 692;P w NGC 5481 at 3.2;svBN;sev filam branch;arms poor                          "
"NGC 5481         ","UGC  9029         ","GALXY","UMA","14 06.7","+50 43","12.3","13.3","49 ","2 ","   1.4 m","   1.1 m","115","E-SO       ","    ","     ","    ","F;vS;smbM;stell;sf of 2                                ","H II 693;P w NGC 5480                                                                 "
"NGC 5484         ","ZwG 272. 29       ","GALXY","UMA","14 06.8","+55 02","14.7","99.9","49 ","2 ","   0.8 m","   0.7 m","0  ","Elliptical ","    ","     ","    ","vF;S;R;4'from 5485                                     ","H III 791;P w NGC 5485 at 3'9;Dim                                                     "
"NGC 5485         ","UGC  9033         ","GALXY","UMA","14 07.2","+55 00","11.4","12.9","49 ","2 ","   2.8 m","   2.1 m","170","SO         ","    ","     ","    ","cB;R;vgbM;f of 2                                       ","H I 232;P w NGC 5484 at 3'9;NGC 5486 at 6';sBN in B lens                              "
"NGC 5486         ","UGC  9036         ","GALXY","UMA","14 07.4","+55 06","13.3","14  ","49 ","2 ","   1.5 m","   0.9 m","80 ","Sm         ","    ","     ","    ","F;pL                                                   ","H II 801;P w NGC 5485 at 6'                                                           "
"NGC 5502         ","NGC 5503          ","GALXY","UMA","14 09.6","+60 25","16.0","99.9","49 ","2 ","   0.3 m","   0.1 m","85 ","S          ","    ","     ","    ","eeF;pS;R;v diffic                                      ","                                                                                      "
"NGC 5503         ","NGC 5502          ","GALXY","UMA","14 09.6","+60 25","16.0","99.9","49 ","2 ","   0.3 m","   0.1 m","85 ","S          ","    ","     ","    ","eeF;vS;R;v diffic                                      ","                                                                                      "
"NGC 5526         ","UGC  9115         ","GALXY","UMA","14 13.9","+57 46","14.2","99.9","49 ","2 ","   1.8 m","   0.2 m","136","Sbc        ","    ","     ","    ","vF;S;E;r                                               ","H III 804;f of 2                                                                      "
"NGC 5540         ","MCG  10-20- 90    ","GALXY","UMA","14 14.9","+60 01","14.9","99.9","49 ","2 ","   0.8 m","   0.6 m","10 ","E-SO       ","    ","     ","    ","eF;vS;R;stellar                                        ","H III 805                                                                             "
"NGC 5561         ","ZwG 295. 44       ","GALXY","UMA","14 17.4","+58 45","14.9","13.9","49 ","2 ","   0.5 m","   0.5 m","   ","Compact    ","    ","     ","    ","eF;pS;R;F* close p                                     ","                                                                                      "
"NGC 5585         ","UGC  9179         ","GALXY","UMA","14 19.8","+56 44","10.7","13.9","49 ","2 ","   5.8 m","   3.6 m","30 ","SBcd       ","    ","     ","    ","pF;L;iR;vgmbM;r                                        ","H I 235;M 101 group                                                                   "
"NGC 5631         ","UGC  9261         ","GALXY","UMA","14 26.6","+56 35","11.5","12.5","49 ","2 ","   2   m","   2   m","   ","SO         ","    ","     ","  H ","B;S;R;psbMN                                            ","H I 236;vB diff N w F dk crescent on one side;in lens 0'5x0'5;F env                   "
"NGC 3172         ","ZwG 370  02       ","GALXY","UMI","11 47.2","+89 06","14.9","99.9","1  ","2 ","   1   m","   0.7 m","90 ","S pec      ","    ","     ","    ","vF;R;gbM;*11 2' s                                      ","Polarissima Borealis;nearest NGC to North Celestial Pole                              "
"NGC 5034         ","UGC  8295         ","GALXY","UMI","13 12.3","+70 39","13.2","12.6","26 ","2 ","   0.9 m","   0.7 m","15 ","Sc         ","    ","     ","    ","vF;vS;R                                                ","H III 909                                                                             "
"NGC 5144A        ","UGC  8420         ","GALXY","UMI","13 22.9","+70 31","13.1","13  ","26 ","2 ","   1.2 m","   0.8 m","150","Scp        ","    ","     ","    ","cB;S;R;g;sBM                                           ","H IV 70;blue post-eruptive distorted spir w numerous conds and jets                   "
"NGC 5144B        ","UGC  8420         ","GALXY","UMI","13 22.9","+70 31","16.0","99.9","26 ","2 ","   0.2 m","   0.2 m","   ","Compact    ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 5262         ","UGC  8606         ","GALXY","UMI","13 35.6","+75 02","13.8","13.5","10 ","2 ","   1.2 m","   0.7 m","170","E-SO       ","    ","     ","    ","eF;S                                                   ","P w UGC 8595                                                                          "
"NGC 5323         ","UGC  8719         ","GALXY","UMI","13 45.6","+76 50","13.5","12.8","10 ","2 ","   1.4 m","   0.4 m","163","Sab        ","    ","     ","    ","vF;pS;lE0                                              ","H II 899;compact; sev F galaxies nearby                                               "
"NGC 5314         ","MCG  12-13-  9    ","GALXY","UMI","13 46.2","+70 20","13.7","99.9","26 ","2 ","   1   m","   0.5 m","135","S          ","    ","     ","    ","vF;eS;stellar;eF*v nr                                  ","                                                                                      "
"NGC 5340         ","MCG  12-13- 13    ","GALXY","UMI","13 49.0","+72 39","15.2","99.9","10 ","2 ","   0.8 m","   0.5 m","85 ","S          ","    ","     ","    ","eF;S;R                                                 ","                                                                                      "
"NGC 5344         ","ZwG 336. 26       ","GALXY","UMI","13 50.2","+73 57","15.4","99.9","10 ","2 ","   0.6 m","   0.4 m","80 ","S          ","    ","     ","    ","vF;S;R                                                 ","double system                                                                         "
"NGC 5385         ","                  ","ASTER","UMI","13 52.5","+76 10","99.9","99.9","10 ","2 ","        ","        ","   ","           ","    ","     ","    ","Cl;P;S                                                 ","                                                                                      "
"NGC 5452         ","UGC  8867         ","GALXY","UMI","13 54.4","+78 13","13.3","14.3","10 ","2 ","   2   m","   1.5 m","120","SBcd       ","    ","     ","    ","vF;pL;iR;vgvlbM                                        ","H III 947                                                                             "
"NGC 5415         ","ZwG 336. 32       ","GALXY","UMI","13 56.9","+70 45","15.0","99.9","27 ","2 ","   1   m","   0.6 m","135","S          ","    ","     ","    ","eF;vS;R;2F* nr                                         ","                                                                                      "
"NGC 5412         ","UGC  8905         ","GALXY","UMI","13 57.2","+73 37","13.4","13.5","10 ","2 ","   1.2 m","   1   m","20 ","E-SO       ","    ","     ","    ","pF;S;R;D*p                                             ","sev faint comp in field                                                               "
"NGC 5479         ","MCG  11-17- 19    ","GALXY","UMI","14 06.0","+65 41","15.2","99.9","27 ","2 ","   0.7 m","   0.5 m","15 ","E-SO       ","    ","     ","    ","eF;vS;R;bet 2*                                         ","compact                                                                               "
"NGC 5547         ","UGC  9095         ","GALXY","UMI","14 09.8","+78 36","14.5","99.9","10 ","2 ","   0.9 m","   0.4 m","20 ","S pec      ","    ","     ","    ","eF;vS;E0                                               ","H III 948;+ IC 4404 Double system;Bridge;spir?;compact;sep 0.7                        "
"NGC 5607         ","UGC  9189         ","GALXY","UMI","14 19.4","+71 35","13.4","12.9","27 ","2 ","   0.9 m","   0.8 m","   ","S pec      ","    ","     ","    ","pF;cS;iR;bM;er                                         ","H II 331;Peculiar                                                                     "
"NGC 5620         ","MCG  12-14-  2    ","GALXY","UMI","14 22.7","+69 36","15.0","99.9","27 ","2 ","   0.6 m","   0.6 m","   ","E-SO       ","    ","     ","    ","eF;vS                                                  ","H III 319                                                                             "
"NGC 5671         ","UGC  9297         ","GALXY","UMI","14 27.7","+69 42","13.3","13.9","27 ","2 ","   1.7 m","   1.2 m","45 ","SBb        ","    ","     ","    ","vF;pL;R;bM                                             ","H III 882;2 unequal arms;bent in opposite directions?                                 "
"NGC 5712         ","MCG  13-10- 21    ","GALXY","UMI","14 29.7","+78 52","15.3","99.9","10 ","2 ","   0.7 m","   0.7 m","   ","E-SO       ","    ","     ","    ","vF;S;R;S Cl p                                          ","H III 950;very compact                                                                "
"NGC 5808         ","NGC 5819          ","GALXY","UMI","14 54.0","+73 08","14.3","99.9","10 ","2 ","   0.9 m","   0.9 m","   ","SBbc       ","    ","     ","    ","vF;S;iR;bet 2 st                                       ","                                                                                      "
"NGC 5819         ","NGC 5808          ","GALXY","UMI","14 54.0","+73 08","13.5","13.2","10 ","2 ","   0.9 m","   0.9 m","   ","SBbc       ","    ","     ","    ","F;pL;triangle w 2*                                     ","H III 311;comp 3.2';PA130;0.6X0.3;UGC 9609                                            "
"NGC 5832         ","UGC  9649         ","GALXY","UMI","14 57.8","+71 41","12.1","14.2","27 ","2 ","   3.6 m","   2.2 m","45 ","SBb        ","    ","     ","    ","pB;cL;iR;bp;r                                          ","H II 332;unusul obj;bar and spir pattern very blue                                    "
"NGC 5836         ","UGC  9664         ","GALXY","UMI","14 59.5","+73 54","13.9","13.9","10 ","2 ","   1.2 m","   1   m","   ","SBb Ring   ","    ","     ","    ","eF;vS;lE;2* inv                                        ","H III 312;VII Zw 576                                                                  "
"UGC  9749        ","Ursa Minor Dwarf  ","GALXY","UMI","15 08.8","+67 12","10.9","17.8","28 ","2 ","  27.3 m","  16   m","70 ","dE6        ","    ","     ","    ","13''-vF;L;E 1.5X1 at 60X; low surface brghtnss         ","Member Local Group                                                                    "
"NGC 5909         ","UGC  9778         ","GALXY","UMI","15 11.5","+75 23","13.7","12.9","11 ","2 ","   1.1 m","   0.5 m","52 ","Sbc        ","    ","     ","    ","vF;vS                                                  ","H III 943;Error in CGCG 5909=5912;* superimp                                          "
"NGC 5912         ","MCG  13-11- 11    ","GALXY","UMI","15 11.7","+75 23","13.7","99.9","11 ","2 ","   1.2 m","   1.1 m","95 ","E-SO       ","    ","     ","    ","vF;vS                                                  ","H III 944;Error in CGCG; MCG +13-11-011                                               "
"NGC 5939         ","UGC  9854         ","GALXY","UMI","15 24.8","+68 44","13.0","11.9","28 ","2 ","   0.9 m","   0.5 m","35 ","Sbc        ","    ","     ","    ","pB;pS;lE                                               ","comp at 8.2' PA 225 0.5X0.3 m=15.5                                                    "
"UGC 10054        ","PGC 55887         ","GALXY","UMI","15 44.0","+81 50","13.7","14.7","11 ","2 ","   2.5 m","   1.0 m","150","SBdm       ","    ","     ","    ","                                                       ","south foll of 2;may be disturbed by vF companion                                      "
"NGC 6011         ","UGC 10047         ","GALXY","UMI","15 46.5","+72 10","13.5","13.8","28 ","2 ","   2   m","   0.7 m","110","Sb         ","    ","     ","    ","vF;S;E90;vS*f                                          ","H III 313                                                                             "
"NGC 6068A        ","MCG  13-11- 17    ","GALXY","UMI","15 54.8","+78 59","14.0","11.8","11 ","2 ","   0.9 m","   0.2 m","15 ","SO         ","    ","     ","    ","                                                       ","p @ 2'                                                                                "
"NGC 6068         ","UGC 10126         ","GALXY","UMI","15 55.4","+79 00","12.8","12.4","11 ","2 ","   1   m","   0.7 m","155","SBbc       ","    ","     ","    ","vF;vS;lE0;r                                            ","H III 973;nf of 2;distorted;UGC 10126                                                 "
"NGC 6048         ","UGC 10124         ","GALXY","UMI","15 57.5","+70 41","12.3","13.7","28 ","2 ","   2.2 m","   1.7 m","140","E2         ","    ","     ","    ","F;R;bM                                                 ","H II 873;np of 2;UGC 10124                                                            "
"NGC 6071         ","MCG  12-15- 47    ","GALXY","UMI","16 02.1","+70 25","14.0","13.6","28 ","3 ","   0.8 m","   0.8 m","   ","E-SO       ","    ","     ","    ","eF;vS                                                  ","H III 883                                                                             "
"NGC 6094         ","UGC 10228         ","GALXY","UMI","16 06.6","+72 30","13.2","14.1","11 ","3 ","   1.8 m","   1.4 m","120","SO         ","    ","     ","    ","vF;vS;lE                                               ","H III 314                                                                             "
"NGC 6091         ","MCG  12-15- 54    ","GALXY","UMI","16 07.9","+69 54","14.5","99.9","28 ","3 ","   0.8 m","   0.5 m","95 ","S          ","    ","     ","    ","vF;vS;R;*N                                             ","                                                                                      "
"NGC 6251         ","UGC 10501         ","GALXY","UMI","16 32.5","+82 32","12.6","13.7","11 ","3 ","   1.8 m","   1.5 m","20 ","Elliptical ","    ","     ","    ","cF;S;bM;p of 2                                         ","H III 974;P w NGC 6252 at 2.4' PA 10                                                  "
"NGC 6217         ","UGC 10470         ","GALXY","UMI","16 32.6","+78 12","11.2","13.2","11 ","3 ","   3.3 m","   3.2 m","   ","SBbc Ring  ","    ","     ","  H ","B;cL;lE;slBM                                           ","H I 280;Narrow filaments;Arp 185;UGC 10470                                            "
"NGC 6252         ","MCG  14- 8- 11    ","GALXY","UMI","16 32.7","+82 35","15.0","99.9","11 ","3 ","   0.7 m","   0.3 m","70 ","S          ","    ","     ","    ","vF;vS;f of 2                                           ","H III 975                                                                             "
"NGC 6331         ","MCG  13-12- 15    ","GALXY","UMI","17 03.6","+78 38","15.5","99.9","11 ","3 ","   0.6 m","   0.4 m","115","Elliptical ","    ","     ","    ","eF;S                                                   ","H III 951;Triple system in vF halo                                                    "
"NGC 6324         ","UGC 10725         ","GALXY","UMI","17 05.4","+75 24","12.8","11.9","11 ","3 ","   1   m","   0.6 m","78 ","Sbc        ","    ","     ","    ","vF;S;E;S*s                                             ","H III 945;Bright main body w one arm on p side;UGC 10725                              "
"NGC 2547         ","OCL  753          ","OPNCL","VEL","08 10.2","-49 12"," 4.7","99.9","396","20","  20   m","        ","   ","II 2 p n   ","80  "," 6.5 ","    ","Cl;B;L;lC;st7...16                                     ","                                                                                      "
"PK 264- 8.1      ","He2-  7           ","PLNNB","VEL","08 11.5","-48 43","12.4","11.2","396","20","  45.0 s","        ","   ","2          ","    ","16.9 ","    ","                                                       ","                                                                                      "
"PK 263- 5.1      ","PB 2              ","PLNNB","VEL","08 20.8","-46 22","13.6","6.7 ","396","20","   3.0 s","        ","   ","           ","    ","     ","    ","                                                       ","                                                                                      "
"Ru  60           ","                  ","OPNCL","VEL","08 24.5","-47 13","99.9","99.9","397","20","   6   m","        ","   ","II 1m:b    ","30  ","13   ","    ","                                                       ","                                                                                      "
"Gum 12           ","                  ","SNREM","VEL","08 30.0","-44 00","99.9","99.9","397","20"," 264   m"," 108   m","   ","E          ","    ","     ","    ","                                                       ","Vela Supernova Remnant; pulsar PSR 0833 -45 invol                                     "
"vdB-Ha  34       ","                  ","OPNCL","VEL","08 31.3","-44 29","99.9","99.9","397","20","  13   m","        ","   ","IV 2pn     ","20  ","     ","    ","                                                       ","                                                                                      "
"Pismis  3        ","                  ","OPNCL","VEL","08 31.4","-38 39","99.9","99.9","363","20","   6   m","        ","   ","II 1m:b    ","20  ","13   ","    ","                                                       ","                                                                                      "
"Ru  63           ","                  ","OPNCL","VEL","08 32.7","-48 18","99.9","99.9","397","20","   5   m","        ","   ","II 1p :b   ","20  ","13   ","    ","                                                       ","                                                                                      "
"Pismis  4        ","                  ","OPNCL","VEL","08 34.6","-44 22"," 5.9","99.9","397","20","  18   m","        ","   ","IV 1 p n   ","45  "," 7.3 ","    ","                                                       ","                                                                                      "
"NGC 2626         ","ESO 313-N*4       ","BRTNB","VEL","08 35.5","-40 40","99.9","99.9","397","20","   5   m","        ","   ","E+R        ","    ","     ","    ","*9 inv in pB;pL;R neb                                  ","                                                                                      "
"PK 259+ 0.1      ","He2- 11           ","PLNNB","VEL","08 37.1","-39 26","13.8","99.9","397","20","  75.0 s","        ","   ","           ","    ","18.9 ","    ","                                                       ","Diffuse neb?                                                                          "
"Ru  64           ","                  ","OPNCL","VEL","08 37.4","-40 05","99.9","99.9","397","20","  67   m","        ","   ","II 3 p     ","80  "," 9   ","    ","                                                       ","                                                                                      "
"Pismis  5        ","                  ","OPNCL","VEL","08 37.6","-39 34"," 9.9","99.9","397","20","   2   m","        ","   ","III 2 p n  ","10  ","10.4 ","    ","                                                       ","                                                                                      "
"NGC 2645         ","Pismis 6          ","OPNCL","VEL","08 39.1","-46 14"," 7.1","99.9","397","20","   1.5 m","        ","   ","II 2 p     ","15  "," 8.9 ","    ","Cl;S;st L and S                                        ","                                                                                      "
"Ru  65           ","                  ","OPNCL","VEL","08 39.4","-44 03","99.9","99.9","397","20","  11   m","        ","   ","IV 1 p     ","20  ","13   ","    ","                                                       ","                                                                                      "
"IC  2391         ","Cr 191            ","OPNCL","VEL","08 39.6","-52 55"," 2.5","99.9","425","25","  60   m","        ","   ","II 3 p     ","30  "," 3.6 "," C  ","vL;B                                                   ","Scattered group of 10 * incl Omicron Velorum                                          "
"Waterloo 6       ","                  ","OPNCL","VEL","08 40.4","-46 09"," 8.4","99.9","397","20","   2.2 m","        ","   ","II 3 p     ","8   "," 9.2 ","    ","                                                       ","                                                                                      "
"Pismis  7        ","                  ","OPNCL","VEL","08 41.1","-38 42","99.9","99.9","363","20","   2.5 m","        ","   ","II 1m:b    ","35  ","13   ","    ","                                                       ","                                                                                      "
"Pismis  8        ","                  ","OPNCL","VEL","08 41.6","-46 17"," 9.5","99.9","397","20","   2   m","        ","   ","II 3 p     ","25  ","10.5 ","    ","                                                       ","                                                                                      "
"Ru  67           ","                  ","OPNCL","VEL","08 41.8","-43 23"," 9.1","99.9","397","20","   6   m","        ","   ","IV 3 p     ","35  ","10.7 ","    ","                                                       ","                                                                                      "
"IC  2395         ","Cr 192            ","OPNCL","VEL","08 42.5","-48 08"," 4.6","99.9","397","20","  17   m","        ","   ","II 3 p     ","40  "," 5.5 ","    ","about 16 stars mags 9...                               ","Cluster NGC 2670 in field 30' south                                                   "
"NGC 2659         ","OCL  752          ","OPNCL","VEL","08 42.6","-45 00"," 8.6","99.9","397","20","  14   m","        ","   ","III 3 m    ","80  "," 9.7 ","    ","Cl;L;Ri;pmE;st11..14                                   ","In Vel OB1                                                                            "
"NGC 2660         ","OCL  759          ","OPNCL","VEL","08 42.6","-47 12"," 8.8","99.9","397","20","   4   m","        ","   ","I 3 m      ","70  ","11.7 ","    ","Cl;pS;mC;iR;gbM;*13...15                               ","                                                                                      "
"PK 265- 2.1      ","Velghe 26         ","PLNNB","VEL","08 43.6","-46 08","17.5","99.9","397","20","   5   s","        ","   ","1          ","    ","     ","    ","                                                       ","                                                                                      "
"Cr 197           ","                  ","OPNCL","VEL","08 44.7","-41 17"," 6.7","99.9","397","20","  17   m","        ","   ","IV 2 p n   ","40  "," 7.3 ","    ","                                                       ","                                                                                      "
"Bochum  7        ","                  ","OPNCL","VEL","08 44.8","-45 58"," 6.8","99.9","397","20","  20   m","        ","   ","IV 3 p     ","9   "," 7.6 ","    ","                                                       ","                                                                                      "
"Gum 15           ","RCW 32            ","BRTNB","VEL","08 44.8","-41 17","99.9","99.9","397","20","  20   m","        ","   ","E          ","    ","     ","    ","                                                       ","Brighter knot in Gum nebula (Vela SNR)                                                "
"Ru  69           ","                  ","OPNCL","VEL","08 44.8","-47 36","99.9","99.9","397","20","   2.2 m","        ","   ","IV 1pn:b   ","10  ","14   ","    ","                                                       ","                                                                                      "
"NGC 2670         ","OCL  764          ","OPNCL","VEL","08 45.5","-48 48"," 7.8","99.9","397","20","   6   m","        ","   ","II 2 p     ","30  "," 9.3 ","    ","Cl;pL;P;lC;st13...                                     ","                                                                                      "
"NGC 2671         ","OCL  745          ","OPNCL","VEL","08 46.2","-41 53","11.6","99.9","397","20","   4   m","        ","   ","I 3 p      ","40  ","     ","    ","Cl;pRi;lCM;st12...13                                   ","                                                                                      "
"NGC 2669         ","OCL  768          ","OPNCL","VEL","08 46.4","-52 57"," 6.1","99.9","425","25","  20   m","        ","   ","II 3 p     ","40  "," 7.6 ","    ","Cl;L;P;lC;*10...13                                     ","                                                                                      "
"Tr 10            ","Cr 203            ","OPNCL","VEL","08 47.8","-42 29"," 4.6","99.9","397","20","  15   m","        ","   ","II 2 p     ","40  "," 6.4 ","    ","                                                       ","                                                                                      "
"Ru  70           ","                  ","OPNCL","VEL","08 49.1","-46 49","99.9","99.9","397","20","   5   m","        ","   ","IV 2p :a   ","    ","13   ","    ","                                                       ","                                                                                      "
"Ru  71           ","                  ","OPNCL","VEL","08 49.5","-46 47","99.9","99.9","397","20","   7   m","        ","   ","III 2 p    ","30  ","11   ","    ","                                                       ","                                                                                      "
"PK 261+ 2.1      ","He2- 15           ","PLNNB","VEL","08 53.5","-40 04","14.1","12.2","397","20","  30.0 s","        ","   ","           ","    ","17.8 ","    ","                                                       ","                                                                                      "
"SL  4            ","                  ","DRKNB","VEL","08 53.6","-42 13","79.9","79.9","397","20","  60   m","  10   m","   ","5 Ir       ","    ","     ","    ","                                                       ","In emission nebula Gum 17                                                             "
"PK 269- 3.1      ","PB 3              ","PLNNB","VEL","08 54.1","-50 32","13.6","8.8 ","425","25","   7   s","        ","   ","           ","    ","13.6 ","    ","                                                       ","Bipolar                                                                               "
"vdB-Ha  56       ","                  ","OPNCL","VEL","08 57.3","-43 15","99.9","99.9","397","20","  12   m","        ","   ","IV 3 mn    ","35  ","     ","    ","                                                       ","                                                                                      "
